sku,store,date,sales,division,salesqty
101466675,1155,2/28/2021,9.99,9,1
101466675,1040,2/28/2021,19.98,9,2
101466675,1051,2/28/2021,9.99,9,1
101466675,1066,2/28/2021,9.99,9,1
101466675,1194,2/28/2021,0,9,0
101466675,1005,2/28/2021,9.99,9,1
101466675,1092,2/28/2021,19.98,9,2
101466675,1212,2/28/2021,29.97,9,3
101466675,1127,2/28/2021,0,9,0
101466675,1014,2/28/2021,29.97,9,3
101466675,1208,2/28/2021,0,9,0
101466675,1079,2/28/2021,9.99,9,1
101466675,1004,2/28/2021,9.99,9,1
101466675,1001,2/28/2021,19.98,9,2
101466675,1019,2/28/2021,19.98,9,2
101466675,1000,2/28/2021,0,9,0
101466675,1029,2/28/2021,0,9,0
101466675,1027,2/28/2021,9.99,9,1
101466675,1035,2/28/2021,59.94,9,6
101466675,1154,2/28/2021,9.99,9,1
101466675,1021,2/28/2021,29.97,9,3
101466675,1114,2/28/2021,49.95,9,5
101466675,1424,2/28/2021,9.99,9,1
101466675,1082,2/28/2021,19.98,9,2
101466675,1007,2/28/2021,29.97,9,3
101466675,1003,2/28/2021,0,9,0
101466675,1032,2/28/2021,19.98,9,2
101466675,1028,2/28/2021,0,9,0
101466675,1099,2/28/2021,9.99,9,1
101466675,1022,2/28/2021,49.95,9,5
101466675,1179,2/28/2021,0,9,0
101466675,1023,2/28/2021,9.99,9,1
101466675,1188,2/28/2021,9.99,9,1
101466675,1016,2/28/2021,29.97,9,3
101466675,1090,2/28/2021,9.99,9,1
101466675,1132,2/28/2021,0,9,0
101466675,1010,2/28/2021,19.98,9,2
101466675,1083,2/28/2021,0,9,0
101466675,1064,2/28/2021,9.99,9,1
101466675,1050,2/28/2021,19.98,9,2
101466675,1170,2/28/2021,9.99,9,1
101466675,1011,2/28/2021,9.99,9,1
101466675,1095,2/28/2021,19.98,9,2
101466675,1142,2/28/2021,0,9,0
101466675,1174,2/28/2021,9.99,9,1
101466675,1200,2/28/2021,19.98,9,2
101466675,1020,2/28/2021,0,9,0
101466675,2841,2/28/2021,7.98,6,1
101466675,551,2/28/2021,15.96,6,2
101466675,577,2/28/2021,87.78,6,11
101466675,2806,2/28/2021,55.86,6,7
101466675,1017,2/28/2021,55.86,6,7
101466675,1077,2/28/2021,15.96,6,2
101466675,1012,2/28/2021,7.98,6,1
101466675,2812,2/28/2021,31.92,6,4
101466675,569,2/28/2021,55.86,6,7
101466675,1018,2/28/2021,23.94,6,3
101466675,2827,2/28/2021,47.88,6,6
101466675,1043,2/28/2021,39.9,6,5
101466675,2822,2/28/2021,23.94,6,3
101466675,1080,2/28/2021,15.96,6,2
101466675,1058,2/28/2021,23.94,6,3
101466675,2826,2/28/2021,55.86,6,7
101466675,1091,2/28/2021,39.9,6,5
101466675,2803,2/28/2021,47.88,6,6
101466675,2842,2/28/2021,63.84,6,8
101466675,562,2/28/2021,39.9,6,5
101466675,2811,2/28/2021,55.86,6,7
101466675,512,2/28/2021,39.9,6,5
101466675,1033,2/28/2021,47.88,6,6
101466675,567,2/28/2021,47.88,6,6
101466675,1009,2/28/2021,31.92,6,4
